msme_id,loan_id,business_name,loan_type,sanctioned_lakhs,outstanding_lakhs,is_ntc,sector,city,state,persona
MSME001,LN-MSME001-001,Sharma Precision Works,Term Loan,95.63,38.48,False,Manufacturing,Pune,Maharashtra,healthy_manufacturer
MSME002,LN-MSME002-001,Patel Kirana & General Store,Cash Credit,55.12,36.63,True,Retail,Ahmedabad,Gujarat,healthy_retail
MSME003,LN-MSME003-001,Gupta Trading Company,Working Capital,145.42,75.89,False,Retail,Delhi,Delhi,distressed
MSME004,LN-MSME004-001,Krishi Mitra Agro Supplies,Mudra/PMEGP,45.51,22.91,True,Agri-Input,Nagpur,Maharashtra,agri_favorable
MSME005,LN-MSME005-001,"Ravel, Kapoor and Handa",Equipment Finance,39.96,24.33,False,Retail,Raichur,Maharashtra,random
MSME006,LN-MSME006-001,Sura-Char,Mudra/PMEGP,122.86,100.59,False,Services,Serampore,Maharashtra,distressed
MSME007,LN-MSME007-001,Bawa-Lalla,Supply Chain Finance,128.7,112.18,False,Food Processing,Shimla,Rajasthan,distressed
MSME008,LN-MSME008-001,Gour Inc,Working Capital,65.01,27.07,True,Agri-Input,North Dumdum,Delhi,random
MSME009,LN-MSME009-001,"Bhasin, Dada and Banerjee",Term Loan,132.72,92.69,True,Pharma,Kollam,Tamil Nadu,healthy_retail
MSME010,LN-MSME010-001,Padmanabhan Ltd,Cash Credit,49.08,32.09,False,Logistics,Sikar,Maharashtra,random
MSME011,LN-MSME011-001,Keer and Sons,LAP,47.03,27.23,False,Textiles,Bilaspur,Rajasthan,random
MSME012,LN-MSME012-001,"Sabharwal, Luthra and Doctor",Equipment Finance,121.72,62.33,True,Food Processing,Vijayanagaram,Gujarat,healthy_retail
MSME013,LN-MSME013-001,Bava-Kumar,Mudra/PMEGP,33.84,19.81,False,Retail,Mathura,Delhi,random
MSME014,LN-MSME014-001,Balakrishnan Group,Supply Chain Finance,83.51,76.92,False,Agri-Input,Kadapa,Gujarat,distressed
MSME015,LN-MSME015-001,Tata-Balasubramanian,Working Capital,55.39,24.44,False,Pharma,Rewa,Karnataka,random
MSME016,LN-MSME016-001,"Bal, Choudhry and Hora",Term Loan,13.16,7.92,False,Pharma,Sonipat,Delhi,healthy_manufacturer
MSME017,LN-MSME017-001,"Kibe, More and Walla",Cash Credit,74.35,48.93,False,Services,Chandrapur,Karnataka,healthy_manufacturer
MSME018,LN-MSME018-001,"Konda, Parmer and Palan",LAP,17.45,7.17,False,Logistics,Guntur,Rajasthan,healthy_manufacturer
MSME019,LN-MSME019-001,Ahuja Inc,Equipment Finance,146.17,91.04,True,Services,Proddatur,Gujarat,healthy_retail
MSME020,LN-MSME020-001,"Puri, Shukla and Kapur",Mudra/PMEGP,48.91,19.64,True,Logistics,Amritsar,Delhi,random
MSME021,LN-MSME021-001,Nagarajan Ltd,Supply Chain Finance,128.41,67.45,False,Textiles,Kadapa,Delhi,healthy_manufacturer
MSME022,LN-MSME022-001,Virk-Dayal,Working Capital,75.9,46.0,False,Logistics,Salem,Delhi,distressed
MSME023,LN-MSME023-001,Chadha and Sons,Term Loan,15.14,8.79,True,Food Processing,Bangalore,Delhi,healthy_retail
MSME024,LN-MSME024-001,"Sawhney, Patel and Setty",Cash Credit,146.02,75.24,False,Services,Kulti,Gujarat,healthy_manufacturer
MSME025,LN-MSME025-001,Mand-Ratti,LAP,22.49,15.65,True,Retail,Kozhikode,Rajasthan,healthy_retail
MSME026,LN-MSME026-001,Shere-Garg,Equipment Finance,133.6,86.14,True,Services,Berhampur,Rajasthan,random
MSME027,LN-MSME027-001,"Shere, Pandit and Chahal",Mudra/PMEGP,69.87,55.09,False,Logistics,Bhiwani,Tamil Nadu,distressed
MSME028,LN-MSME028-001,Nayar Group,Supply Chain Finance,91.14,51.53,True,Retail,Mirzapur,Maharashtra,random
MSME029,LN-MSME029-001,Sahni Ltd,Working Capital,28.09,25.79,False,Retail,Bhusawal,Gujarat,distressed
MSME030,LN-MSME030-001,"Baria, Mahajan and Singhal",Term Loan,36.2,20.42,False,Food Processing,Amritsar,Delhi,random
MSME031,LN-MSME031-001,"Tella, Balasubramanian and Sengupta",Cash Credit,130.7,86.92,False,Services,Kamarhati,Karnataka,random
MSME032,LN-MSME032-001,Garde-Palla,LAP,26.69,17.07,False,Services,Mehsana,Rajasthan,healthy_manufacturer
MSME033,LN-MSME033-001,Hayer Group,Equipment Finance,18.29,11.83,False,Services,Erode,Gujarat,random
MSME034,LN-MSME034-001,Patla Inc,Mudra/PMEGP,35.45,23.45,False,Retail,Ujjain,Karnataka,healthy_manufacturer
MSME035,LN-MSME035-001,"Pandya, Goyal and Bhavsar",Supply Chain Finance,142.52,113.21,False,Food Processing,Panipat,Maharashtra,distressed
MSME036,LN-MSME036-001,"Sha, Konda and Loke",Working Capital,147.79,80.41,True,Pharma,Kolkata,Maharashtra,random
MSME037,LN-MSME037-001,"Chakrabarti, Gokhale and Sengupta",Term Loan,125.6,71.55,False,Retail,Lucknow,Karnataka,distressed
MSME038,LN-MSME038-001,"Thakkar, Panchal and Varughese",Cash Credit,28.69,17.38,True,Manufacturing,Gaya,Karnataka,random
MSME039,LN-MSME039-001,Kant PLC,LAP,107.43,77.25,False,Agri-Input,Tiruvottiyur,Karnataka,distressed
MSME040,LN-MSME040-001,"Sangha, Char and Saxena",Equipment Finance,65.96,29.18,False,Retail,Aurangabad,Gujarat,healthy_manufacturer
MSME041,LN-MSME041-001,"Rajagopal, Pall and Ray",Mudra/PMEGP,37.43,19.59,False,Textiles,Chennai,Karnataka,random
MSME042,LN-MSME042-001,Rao LLC,Supply Chain Finance,48.04,26.81,False,Agri-Input,Sambhal,Delhi,random
MSME043,LN-MSME043-001,"Bera, Bath and Sant",Working Capital,69.67,30.58,False,Manufacturing,Bilaspur,Maharashtra,healthy_manufacturer
MSME044,LN-MSME044-001,Varughese Group,Term Loan,60.08,43.17,False,Manufacturing,Ahmednagar,Delhi,distressed
MSME045,LN-MSME045-001,"Contractor, Khare and Oommen",Cash Credit,122.4,79.95,False,Food Processing,Ratlam,Delhi,random
MSME046,LN-MSME046-001,Nadkarni and Sons,LAP,91.35,71.03,False,Retail,Unnao,Rajasthan,distressed
MSME047,LN-MSME047-001,Sundaram-Nair,Equipment Finance,102.16,83.68,False,Services,Durg,Rajasthan,distressed
MSME048,LN-MSME048-001,Sunder Group,Mudra/PMEGP,16.73,7.65,False,Pharma,Kumbakonam,Karnataka,healthy_manufacturer
MSME049,LN-MSME049-001,Goel LLC,Supply Chain Finance,114.89,70.47,False,Services,Phusro,Gujarat,healthy_manufacturer
MSME050,LN-MSME050-001,"Jani, Yohannan and Kata",Working Capital,52.12,29.38,False,Logistics,Kulti,Karnataka,distressed
MSME051,LN-MSME051-001,Bala Inc,Term Loan,79.08,51.85,False,Agri-Input,Ajmer,Karnataka,distressed
MSME052,LN-MSME052-001,Bhattacharyya LLC,Cash Credit,149.4,66.91,False,Retail,Tinsukia,Gujarat,healthy_manufacturer
MSME053,LN-MSME053-001,"Sahota, Bandi and Bhakta",LAP,86.44,55.51,True,Retail,Udupi,Delhi,healthy_retail
MSME054,LN-MSME054-001,Dalal-Bhatti,Equipment Finance,138.68,119.64,False,Textiles,Vijayawada,Gujarat,distressed
MSME055,LN-MSME055-001,Sarraf Inc,Mudra/PMEGP,117.95,62.43,False,Manufacturing,Bilaspur,Rajasthan,random
