msme_id,loan_id,observation_month,stress_12m
MSME001,LN-MSME001-001,0,0
MSME001,LN-MSME001-001,1,0
MSME001,LN-MSME001-001,2,0
MSME001,LN-MSME001-001,3,0
MSME001,LN-MSME001-001,4,0
MSME001,LN-MSME001-001,5,0
MSME001,LN-MSME001-001,6,0
MSME001,LN-MSME001-001,7,0
MSME001,LN-MSME001-001,8,0
MSME001,LN-MSME001-001,9,0
MSME001,LN-MSME001-001,10,0
MSME001,LN-MSME001-001,11,0
MSME001,LN-MSME001-001,12,0
MSME001,LN-MSME001-001,13,0
MSME001,LN-MSME001-001,14,0
MSME001,LN-MSME001-001,15,0
MSME001,LN-MSME001-001,16,0
MSME001,LN-MSME001-001,17,0
MSME001,LN-MSME001-001,18,0
MSME001,LN-MSME001-001,19,0
MSME001,LN-MSME001-001,20,0
MSME001,LN-MSME001-001,21,0
MSME001,LN-MSME001-001,22,0
MSME001,LN-MSME001-001,23,0
MSME002,LN-MSME002-001,0,0
MSME002,LN-MSME002-001,1,0
MSME002,LN-MSME002-001,2,0
MSME002,LN-MSME002-001,3,0
MSME002,LN-MSME002-001,4,0
MSME002,LN-MSME002-001,5,0
MSME002,LN-MSME002-001,6,0
MSME002,LN-MSME002-001,7,0
MSME002,LN-MSME002-001,8,0
MSME002,LN-MSME002-001,9,0
MSME002,LN-MSME002-001,10,0
MSME002,LN-MSME002-001,11,0
MSME002,LN-MSME002-001,12,0
MSME002,LN-MSME002-001,13,0
MSME002,LN-MSME002-001,14,0
MSME002,LN-MSME002-001,15,0
MSME002,LN-MSME002-001,16,0
MSME002,LN-MSME002-001,17,0
MSME002,LN-MSME002-001,18,0
MSME002,LN-MSME002-001,19,0
MSME002,LN-MSME002-001,20,0
MSME002,LN-MSME002-001,21,0
MSME002,LN-MSME002-001,22,0
MSME002,LN-MSME002-001,23,0
MSME003,LN-MSME003-001,0,0
MSME003,LN-MSME003-001,1,0
MSME003,LN-MSME003-001,2,1
MSME003,LN-MSME003-001,3,1
MSME003,LN-MSME003-001,4,1
MSME003,LN-MSME003-001,5,1
MSME003,LN-MSME003-001,6,1
MSME003,LN-MSME003-001,7,1
MSME003,LN-MSME003-001,8,1
MSME003,LN-MSME003-001,9,1
MSME003,LN-MSME003-001,10,1
MSME003,LN-MSME003-001,11,1
MSME003,LN-MSME003-001,12,1
MSME003,LN-MSME003-001,13,1
MSME003,LN-MSME003-001,14,1
MSME003,LN-MSME003-001,15,1
MSME003,LN-MSME003-001,16,1
MSME003,LN-MSME003-001,17,1
MSME003,LN-MSME003-001,18,1
