msme_id,loan_id,business_name,loan_type,sanctioned_lakhs,outstanding_lakhs,is_ntc,sector,city,state,persona
MSME001,LN-MSME001-001,Sharma Precision Works,Term Loan,95.63,38.48,False,Manufacturing,Pune,Maharashtra,healthy_manufacturer
MSME002,LN-MSME002-001,Patel Kirana & General Store,Cash Credit,36.82,23.93,True,Retail,Ahmedabad,Gujarat,healthy_retail
MSME003,LN-MSME003-001,Gupta Trading Company,Working Capital,120.7,112.28,False,Retail,Delhi,Delhi,distressed
MSME004,LN-MSME004-001,Krishi Mitra Agro Supplies,Mudra/PMEGP,18.79,10.54,True,Agri-Input,Nagpur,Maharashtra,agri_favorable
MSME005,LN-MSME005-001,Taneja and Sons,Equipment Finance,98.06,43.57,False,Retail,Imphal,Rajasthan,healthy_manufacturer
MSME006,LN-MSME006-001,Chaudhry Ltd,Mudra/PMEGP,88.75,50.23,True,Services,North Dumdum,Gujarat,healthy_retail
MSME007,LN-MSME007-001,"Bakshi, Mangat and Dave",Supply Chain Finance,104.1,45.29,False,Textiles,Motihari,Maharashtra,healthy_manufacturer
MSME008,LN-MSME008-001,Bhandari Inc,Working Capital,109.56,45.43,False,Agri-Input,Naihati,Maharashtra,healthy_manufacturer
MSME009,LN-MSME009-001,"Butala, Nori and Deshpande",Term Loan,119.27,54.61,True,Pharma,Hazaribagh,Delhi,healthy_retail
MSME010,LN-MSME010-001,Bail LLC,Cash Credit,124.39,101.8,False,Textiles,Haldia,Gujarat,distressed
MSME011,LN-MSME011-001,Issac and Sons,LAP,101.51,56.34,False,Logistics,Loni,Maharashtra,random
MSME012,LN-MSME012-001,"Seth, Yohannan and Bhalla",Equipment Finance,33.42,15.89,True,Retail,Bhatpara,Maharashtra,healthy_retail
MSME013,LN-MSME013-001,Nagar-Sethi,Mudra/PMEGP,78.36,59.56,False,Services,Fatehpur,Karnataka,distressed
MSME014,LN-MSME014-001,Prashad-Bal,Supply Chain Finance,56.66,52.45,False,Logistics,Bardhaman,Rajasthan,distressed
MSME015,LN-MSME015-001,Ram Group,Working Capital,124.49,79.64,False,Food Processing,Mysore,Rajasthan,random
MSME016,LN-MSME016-001,Savant Ltd,Term Loan,27.01,17.03,True,Retail,Nashik,Tamil Nadu,random
MSME017,LN-MSME017-001,Warrior Group,Cash Credit,35.1,18.65,True,Pharma,Jammu,Delhi,healthy_retail
MSME018,LN-MSME018-001,Bhattacharyya-Krishnamurthy,LAP,100.36,67.77,True,Manufacturing,Silchar,Tamil Nadu,healthy_retail
MSME019,LN-MSME019-001,Sant-Mukherjee,Equipment Finance,16.34,9.17,False,Pharma,Nagercoil,Delhi,distressed
MSME020,LN-MSME020-001,"Chander, Yogi and Sandhu",Mudra/PMEGP,48.26,33.77,False,Retail,Khandwa,Gujarat,healthy_manufacturer
MSME021,LN-MSME021-001,"Raj, Mannan and Barad",Supply Chain Finance,41.86,19.68,False,Agri-Input,Ranchi,Maharashtra,random
MSME022,LN-MSME022-001,Sinha-Kala,Working Capital,140.5,96.54,False,Agri-Input,Naihati,Gujarat,random
MSME023,LN-MSME023-001,Soni-Gill,Term Loan,15.14,10.4,True,Retail,Bardhaman,Karnataka,random
MSME024,LN-MSME024-001,Narasimhan PLC,Cash Credit,148.54,88.32,False,Pharma,Hindupur,Karnataka,random
MSME025,LN-MSME025-001,Roy Ltd,LAP,141.58,72.07,False,Textiles,Hindupur,Maharashtra,random
MSME026,LN-MSME026-001,Prabhu-Chaudhary,Equipment Finance,41.69,19.18,False,Services,Danapur,Gujarat,distressed
MSME027,LN-MSME027-001,"Yogi, Gala and Kata",Mudra/PMEGP,89.68,38.59,False,Logistics,Kavali,Gujarat,healthy_manufacturer
MSME028,LN-MSME028-001,Raja Ltd,Supply Chain Finance,34.74,15.59,False,Retail,Shimoga,Delhi,distressed
MSME029,LN-MSME029-001,"Sabharwal, Nori and Johal",Working Capital,56.57,37.86,False,Agri-Input,Berhampore,Karnataka,random
MSME030,LN-MSME030-001,Prashad-Sharma,Term Loan,20.72,14.36,False,Logistics,Warangal,Maharashtra,healthy_manufacturer
MSME031,LN-MSME031-001,Rao Group,Cash Credit,45.24,26.66,False,Pharma,Hospet,Karnataka,healthy_manufacturer
MSME032,LN-MSME032-001,"Purohit, Shroff and Nayar",LAP,18.84,12.99,False,Manufacturing,Vadodara,Delhi,random
MSME033,LN-MSME033-001,Dar PLC,Equipment Finance,143.44,81.43,False,Food Processing,Chittoor,Gujarat,random
MSME034,LN-MSME034-001,Char-Goda,Mudra/PMEGP,39.13,24.26,True,Textiles,Malda,Rajasthan,healthy_retail
MSME035,LN-MSME035-001,Bail Group,Supply Chain Finance,59.47,36.38,False,Logistics,Danapur,Karnataka,random
MSME036,LN-MSME036-001,Murthy Inc,Working Capital,105.76,64.88,False,Services,Rampur,Karnataka,distressed
MSME037,LN-MSME037-001,Jaggi Ltd,Term Loan,50.35,20.4,True,Logistics,Nadiad,Tamil Nadu,healthy_retail
MSME038,LN-MSME038-001,Varty LLC,Cash Credit,143.99,75.65,True,Food Processing,Ghaziabad,Rajasthan,random
MSME039,LN-MSME039-001,"Bir, Ramesh and Banik",LAP,66.78,30.41,True,Agri-Input,Tiruvottiyur,Delhi,healthy_retail
MSME040,LN-MSME040-001,Palla LLC,Equipment Finance,78.76,65.67,False,Services,Jabalpur,Maharashtra,distressed
MSME041,LN-MSME041-001,"Memon, Dhaliwal and Joshi",Mudra/PMEGP,76.98,55.88,False,Logistics,Pudukkottai,Delhi,distressed
MSME042,LN-MSME042-001,Bora-Tailor,Supply Chain Finance,82.62,76.27,False,Retail,Jaipur,Delhi,distressed
MSME043,LN-MSME043-001,Kota-Jhaveri,Working Capital,109.61,66.59,False,Agri-Input,Junagadh,Maharashtra,distressed
MSME044,LN-MSME044-001,Anne Ltd,Term Loan,73.11,35.79,False,Agri-Input,Hyderabad,Karnataka,distressed
MSME045,LN-MSME045-001,Chaudhuri Group,Cash Credit,38.31,17.77,False,Textiles,Pune,Delhi,healthy_manufacturer
MSME046,LN-MSME046-001,Nayak Ltd,LAP,19.25,11.03,False,Services,Pali,Rajasthan,random
MSME047,LN-MSME047-001,Korpal PLC,Equipment Finance,147.5,99.69,False,Services,Shivpuri,Maharashtra,random
MSME048,LN-MSME048-001,"Taneja, Mani and Srinivas",Mudra/PMEGP,99.85,49.42,False,Textiles,Kozhikode,Tamil Nadu,distressed
MSME049,LN-MSME049-001,Wadhwa-Walla,Supply Chain Finance,134.12,64.44,True,Food Processing,Secunderabad,Karnataka,healthy_retail
MSME050,LN-MSME050-001,Prasad-Comar,Working Capital,135.82,84.91,False,Pharma,Sagar,Maharashtra,random
MSME051,LN-MSME051-001,Wadhwa-Devi,Term Loan,89.29,53.26,True,Pharma,Amroha,Karnataka,random
MSME052,LN-MSME052-001,Bajwa-Karpe,Cash Credit,38.07,21.02,False,Services,Jorhat,Rajasthan,distressed
